龕室,kān shì,,"“a niche, recess” or “a grotto”",
龍神,lóng shén,,“a dragon god; dragons and spirits”,
龍王,lóng wáng,,“a dragon king”,
䶩齧,jì niè,,"“chews, champs”",
𪙁掣,zhā chè,,→ 摣掣 (zhā chè),
齊密,qí mì,,“even and closely spaced”,
鼻根,bí gēn,,“the faculty of smelling”,
鼷鼠,xī shǔ,,“a mouse”,
黧黮,lí dǎn,,“pitch-black”,
黒齒,hēi chǐ,,name of a female demon,
黒風,hēi fēng,,"“storm wind, tempestuous gale, hurricane”",
黒山,hēi shān,,name of a mountain,
麁澁,cū sè,,"“coarse, rough”",
麁弊,cū bì,,"“coarse and worthless, shoddy”",
鵄梟,chī xiāo,,“owls”,
鳩鴿,jiū gē,,“doves”,
鳩槃荼鬼,jiū pán tú[chá] guǐ,,“a kumbhāṇḍa demon”,Cf. 鳩槃荼 (jiū pán tú)
鳩槃荼(or 茶),jiū pán tú[chá],QYS. kjəu buân ḍa,a transliteration of Skt.kumbhāṇḍa (ka) (a class of demon),Cf. 鳩槃荼鬼 (jiū pán tú guǐ)
鮮白,xiān bái,,“pure white”,
鮮澤,xiān zé,,“fresh and glossy”,
魔軍,mó jūn,,“the army of Māra”,
魔賊,mó zéi,,“marauders (headed by) Māra”,
魔網,mó wǎng,,“Māra’s net”,
魔王,mó wáng,,“the King Māra”,
魔民,mó mín,,"“the subordinates of Māra (the Destroyer, Devil)”",
魔怨,mó yuàn,,“enemy (headed by) Māra”,
魔女,mó nǚ,,“Māra’s daughter”,
魔兵,mó bīng,,“the army of Māra”,
魔事,mó shì,,“activities of Māra”,"Cf. 佛事 (fó shì), 如來事 (rú lái shì)"
魔,mó,QYS. muâ,"a transliteration of Skt. Māra (the Destroyer, Devil)",Cf. 惡魔 (è mó)
魁膾,kuí kuài,,"“a headsman, an executioner”",
鬼子母,guǐ zǐ mǔ,,“Mother of Demon Children” (name of a demon),
鬪諍,dòu zhèng,,“fights”,
高廣,gāo guǎng,,“high and broad”,
體相,tǐ xiàng,,“dispositions and characteristics”#,Cf. 性相 (xìng xiàng)
體性,tǐ xìng,,"“nature, disposition”",
驚疑,jīng yí,,“is astonished and doubts”,
馬腦,mǎ nǎo,,“agate”,
香華,xiāng huā,,“perfumes and flowers”,Cf. 華香 (huā xiāng)
香油燈,xiāng yóu dēng,,"“a lamp (filled with) scented oil”",
香油,xiāng yóu,,“scented oil”,Cf. 香油燈 (xiāng yóu dēng)
餚饍,yáo shàn,,"“savoury food, delicacies”",Cf. 美饍 (měi shàn)
餚饌,yáo zhuàn,,“delicate foods”,Cf. 上饌 (shàng zhuàn)
餓鬼,è guǐ,,“hungry ghosts”,
飢羸,jī léi,,“starved and exhausted”,
食噉,shí dàn,,"“devours, eats”",
顰蹙,pín cù,,"“knits the brows, makes a wry face”",
顯説,xiǎn shuō,,"“expounds, states explicitly”",
顯發,xiǎn fā,,"“makes manifest, expounds”",
願求,yuàn qiú,,“aspires”,
願樂欲,yuàn yào yù,,"“wishes, desires”","Cf. 願樂 (yuàn yào), 樂欲 (yào yù)"
"願樂, 願樂欲","yuàn lè, yuàn lè yù",,→ 願樂 (yuàn),
願樂,yuàn yào,,"“wishes, desires”",Cf. 願樂欲 (yuàn yào yù)
願力,yuàn lì,,“the power of a vow”,
頻婆羅,pín pó luó,QYS. bjien4 buâ lâ,"a transliteration of Skt. bimbara, vimbara, viṃvara (a certain high number)",
頻婆,pín pó,QYS. bjien4 buâ,"a transliteration of Skt. bimbā (Momordica Monadelpha, a plant bearing a bright-red fruit, to which the lips of women are often compared [cf. MW, s.v.]) or bimba (the fruit of the Momordica Monadelpha)",
頭陀,tóu tuó,QYS. dəu dâ,"a transliteration of Skt. dhuta, dhūta (“an ascetic, frugal, and scrupulous way of life of a Buddhist monk”)",
領知,lǐng zhī,,"“takes charge of, manages”",
頗羅墮,pō luó duò,QYS. phuâ[phuâ:] lâ duâ:,family name of a buddha,
頗梨珠,pō lí zhū,,“crystal beads”,
頗梨,pō lí,QYS. phuâ[phuâ:] li,"“crystral” (an incomplete transliteration of Middle Indic forms phāḷiya, phalika etc. which correspond with Skt. sphā̌ṭika “crystal”; cf. Bailey 1950: 390-391)",Cf. 頗梨珠 (pō lí zhū)
頗,pō,,"adverb, used in a question for emphasis",
頓止,dùn zhǐ,,"“stays, dwells”",
頓弊,dùn bì,,“decayed”,
頓乏,dùn fá,,"“exhausted, fatigued”",
𩑔痩,kū shòu,,“devoid of hair and emaciated”,
須陀洹道,xū tuó huán dào,,“the path (or stage) of a srotaāpanna (‘one who has converted to Buddhism’)”,
須陀洹,xū tuó huán,QYS. sju dâ γuân,a transliteration of Skt. srotaāpanna (“one who has converted to Buddhism”),
須菩提,xū pú tí,QYS. sju buo diei,name of a disciple of the Buddha,
須曼那,xū màn nà,QYS. sju mjwɒn-[muân-] nâ,a transliteration of Skt. sumanas (“great flowering jasmine”),Cf. 須曼 (xū màn)
須曼,xū màn,QYS. sju mjwɒn-[muân-],a transliteration of Skt. sumanas (“great flowering jasmine”),Cf. 須曼那 (xū màn nà)
須彌頂,xū mí dǐng,,name of a buddha,
須彌相,xū mí xiàng,,name of a buddha,
須彌,xū mí,QYS. sju mjie4[mjie:4],name of a mountain,
順伏,shùn fú,,"“obeys, submits”",
頂戴,dǐng dài,,“bears on one’s head with respect”,
頂受,dǐng shòu,,“presses one’s head against (something) and receives (something); receives respectfully”,
響意,xiǎng yì,,name of a prince,
音教,yīn jiào,,“(the Buddha’s) teaching voice”,
韋陀羅,wéi tuó luó,QYS. jwei dâ lâ,a transliteration of Skt. vetāla (a kind of demon; BHS. vetāḍa),Cf. 毘陀羅 (pí tuó luó)
韋提希,wéi tí xī,QYS. jwei diei xjei,name of Bimbisāra’s queen,
面色,miàn sè,,"“colour of face, facial complexion”",
非人,fēi rén,,"“nonhuman, spirit, demon, ghost”",
靜然,jìng rán,,"“still, quietly”",
靜室,jìng shì,,“a quiet room (where one meditates)”,
青蓮華,qīng lián huā,,“a blue lotus flower”,Cf. 青蓮花 (qīng lián huā)
青蓮花,qīng lián huā,,“a blue lotus flower”,Cf. 青蓮華 (qīng lián huā)
靉靆,ài dài,,"“dense, thick (clouds)”",
靈鷲山,líng jiù shān,,name of a mountain,Cf. 耆闍崛 (qí shé jué)
露地,lù dì,,“an open space”,
震裂,zhèn liè,,“shakes and splits”,
雲雷音王,yún léi yīn wáng,,name of a buddha,
雲雷音宿王華智,yún léi yīn xiù wáng huā zhì,,name of a buddha,
雲自在王,yún zì zài wáng,,name of a buddha,
雲自在燈王,yún zì zài dēng wáng,,name of a buddha,
雲自在,yún zì zài,,name of a buddha,
難陀,nán tuó,QYS. nân[nân-] dâ,name of a disciple of the Buddha,
難陀,nán tuó,QYS. nân[nân-] dâ,name of a dragon king [nāgarāja],
難行,nán xíng,,“hard practices”,Cf. 苦行 (kǔ xíng)
離諸惡趣,lí zhū è qū,,name of a samādhi,
離衰,lí shuāi,,name of a kalpa,
離婆多,lí pó duō,QYS. lje buâ tâ,name of a disciple of the Buddha,
離垢,lí gòu,,name of a buddha-world,
雜穢,zá huì,,“all sorts of rubbish”,
雖復,suī fù,,“even if”,
雕鷲,diāo jiù,,“eagles”,
